Province/Territory,Declared state of emergency,Closed K-12 schools,Closed daycares,Restricted visits to long-term care homes,Banned visits to long-term care homes,Closed non-essential businesses,Restricted restaurant capacity,Closed restaurants except take out,Closed bars,Closed cannabis and liquor stores,Closed gyms,Closed movie theaters,Froze evictions,Ordered freezing utility shut offs,Fines for not respecting social distancing,Fines for not respecting self-isolation,Fines for profiteering,Intra-provincial travel restrictions,Restrictions on Interprovincial/territorial travel,Order self-isolation for domestic travellers,Released modelling of pandemic
Newfoundland and Labrador,18-03-2020,16-03-2020,16-03-2020,12/3/2020,23-03-2020,18-03-2020,18-03-2020,23-03-2020,18-03-2020,21-03-2020,18-03-2020,18-03-2020,26-03-2020,24-03-2020,18-03-2020,18-03-2020,NA,NA,NA,20-03-2020,NA
Prince Edward Island,16-03-2020,16-03-2020,17-03-2020,15-03-2020,15-03-2020,18-03-2020,17-03-2020,17-03-2020,17-03-2020,19-03-2020,18-03-2020,17-03-2020,30-03-2020,NA,23-03-2020,23-03-2020,NA,NA,21-03-2020,25-03-2020,NA
Nova Scotia,22-03-2020,16-03-2020,15-03-2020,9/3/2020,15-03-2020,NA,17-03-2020,17-03-2020,17-03-2020,NA,18-03-2020,NA,19-03-2020,17-03-2020,22-03-2020,22-03-2020,NA,NA,23-03-2020,22-03-2020,NA
New Brunswick,19-03-2020,16-03-2020,16-03-2020,11/3/2020,NA,16-03-2020,16-03-2020,19-03-2020,16-03-2020,NA,16-03-2020,16-03-2020,19-03-2020,24-03-2020,1/4/2020,1/4/2020,NA,NA,25-03-2020,25-03-2020,NA
Quebec,14-03-2020,16-03-2020,13-03-2020,13-03-2020,14-03-2020,25-03-2020,15-03-2020,22-03-2020,15-03-2020,NA,15-03-2020,15-03-2020,15-03-2020,22-03-2020,13-03-2020,13-03-2020,NA,28-03-2020,1/4/2020,NA,7/4/2020
Ontario,17-03-2020,16-03-2020,16-03-2020,9/3/2020,14-03-2020,25-03-2020,16-03-2020,16-03-2020,16-03-2020,5/4/2020,17-03-2020,17-03-2020,16-03-2020,19-03-2020,20-03-2020,20-03-2020,28-03-2020,NA,NA,NA,3/4/2020
Manitoba,20-03-2020,23-03-2020,20-03-2020,16-03-2020,17-03-2020,1/4/2020,20-03-2020,1/4/2020,1/4/2020,NA,20-03-2020,1/4/2020,24-03-2020,20-03-2020,9/4/2020,NA,NA,NA,27-03-2020,25-03-2020,NA
Saskatchewan,18-03-2020,20-03-2020,NA,13-03-2020,NA,26-03-2020,23-03-2020,23-03-2020,23-03-2020,NA,23-03-2020,23-03-2020,26-03-2020,18-03-2020,NA,20-03-2020,13-04-2020,NA,NA,NA,NA
Alberta,17-03-2020,16-03-2020,16-03-2020,20-03-2020,6/4/2020,27-03-2020,17-03-2020,27-03-2020,17-03-2020,NA,17-03-2020,17-03-2020,27-03-2020,18-03-2020,25-03-2020,25-03-2020,NA,NA,NA,NA,7/4/2020
British Columbia,17-03-2020,18-03-2020,NA,17-03-2020 ,NA,NA,17-03-2020,20-03-2020,17-03-2020,NA,NA,NA,25-03-2020,20-03-2020,26-03-2020,26-03-2020,26-03-2020,NA,NA,NA,27-03-2020
Yukon,18-03-2020,18-03-2020,NA,16-03-2020,16-03-2020,NA,22-03-2020,26-03-2020,22-03-2020,NA,22-03-2020,NA,26-03-2020,6/4/2020,2/4/2020,2/4/2020,NA,NA,6/4/2020,22-03-2020,NA
Northwest Territories,18-03-2020,26-03-2020,NA,16-03-2020,17-03-2020,NA,11/4/2020,11/4/2020,11/4/2020,NA,11/4/2020,11/4/2020,13-04-2020,NA,11/4/2020,21-03-2020,NA,NA,21-03-2020,21-03-2020,NA
