province,region_type,region_name,mobility_type,date,trend
Alberta,city,Calgary,driving,1/13/2020,100
Alberta,city,Calgary,driving,1/14/2020,101.94
Alberta,city,Calgary,driving,1/15/2020,100.5
Alberta,city,Calgary,driving,1/16/2020,103.28
Alberta,city,Calgary,driving,1/17/2020,113.39
Alberta,city,Calgary,driving,1/18/2020,107.23
Alberta,city,Calgary,driving,1/19/2020,80.72
Alberta,city,Calgary,driving,1/20/2020,100.75
Alberta,city,Calgary,driving,1/21/2020,104.51
Alberta,city,Calgary,driving,1/22/2020,106.57
Alberta,city,Calgary,driving,1/23/2020,107.43
Alberta,city,Calgary,driving,1/24/2020,122.12
Alberta,city,Calgary,driving,1/25/2020,114.36
Alberta,city,Calgary,driving,1/26/2020,79.77
Alberta,city,Calgary,driving,1/27/2020,96.35
Alberta,city,Calgary,driving,1/28/2020,102.95
Alberta,city,Calgary,driving,1/29/2020,103.61
Alberta,city,Calgary,driving,1/30/2020,107.49
Alberta,city,Calgary,driving,1/31/2020,126.67
Alberta,city,Calgary,driving,2/1/2020,111.52
Alberta,city,Calgary,driving,2/2/2020,80.58
Alberta,city,Calgary,driving,2/3/2020,96.04
Alberta,city,Calgary,driving,2/4/2020,102.19
Alberta,city,Calgary,driving,2/5/2020,100.27
Alberta,city,Calgary,driving,2/6/2020,105.3
Alberta,city,Calgary,driving,2/7/2020,119.49
Alberta,city,Calgary,driving,2/8/2020,112.8
Alberta,city,Calgary,driving,2/9/2020,82.88
Alberta,city,Calgary,driving,2/10/2020,97.51
Alberta,city,Calgary,driving,2/11/2020,101.44
Alberta,city,Calgary,driving,2/12/2020,103.78
Alberta,city,Calgary,driving,2/13/2020,111.16
Alberta,city,Calgary,driving,2/14/2020,130.28
Alberta,city,Calgary,driving,2/15/2020,113.75
Alberta,city,Calgary,driving,2/16/2020,90.53
Alberta,city,Calgary,driving,2/17/2020,78.39
Alberta,city,Calgary,driving,2/18/2020,110.56
Alberta,city,Calgary,driving,2/19/2020,109.84
Alberta,city,Calgary,driving,2/20/2020,115.46
Alberta,city,Calgary,driving,2/21/2020,128.74
Alberta,city,Calgary,driving,2/22/2020,124.68
Alberta,city,Calgary,driving,2/23/2020,87.66
Alberta,city,Calgary,driving,2/24/2020,97.58
Alberta,city,Calgary,driving,2/25/2020,103.07
Alberta,city,Calgary,driving,2/26/2020,103.35
Alberta,city,Calgary,driving,2/27/2020,108.2
Alberta,city,Calgary,driving,2/28/2020,124.83
Alberta,city,Calgary,driving,2/29/2020,119.33
Alberta,city,Calgary,driving,3/1/2020,86.58
Alberta,city,Calgary,driving,3/2/2020,97.43
Alberta,city,Calgary,driving,3/3/2020,103.94
Alberta,city,Calgary,driving,3/4/2020,106.58
Alberta,city,Calgary,driving,3/5/2020,106.94
Alberta,city,Calgary,driving,3/6/2020,122.52
Alberta,city,Calgary,driving,3/7/2020,107.91
Alberta,city,Calgary,driving,3/8/2020,80.53
Alberta,city,Calgary,driving,3/9/2020,93.64
Alberta,city,Calgary,driving,3/10/2020,97.91
Alberta,city,Calgary,driving,3/11/2020,98.59
Alberta,city,Calgary,driving,3/12/2020,93.08
Alberta,city,Calgary,driving,3/13/2020,89.7
Alberta,city,Calgary,driving,3/14/2020,68.69
Alberta,city,Calgary,driving,3/15/2020,53.52
Alberta,city,Calgary,driving,3/16/2020,62.22
Alberta,city,Calgary,driving,3/17/2020,59.51
Alberta,city,Calgary,driving,3/18/2020,55.21
Alberta,city,Calgary,driving,3/19/2020,53.61
Alberta,city,Calgary,driving,3/20/2020,59.14
Alberta,city,Calgary,driving,3/21/2020,47.86
